Sr.,Date,open ,high,low,close
501,06/04 11:50,2228.5,2231.5,2228.5,2230.55
502,06/04 11:49,2231.75,2231.75,2228.5,2228.5
503,06/04 11:48,2232.15,2232.2,2231.0,2231.75
504,06/04 11:47,2230.15,2232.4,2230.15,2232.15
505,06/04 11:46,2230.5,2230.5,2230.05,2230.15
506,06/04 11:45,2228.8,2230.5,2228.8,2230.5
507,06/04 11:44,2229.55,2229.55,2228.8,2228.8
508,06/04 11:43,2228.9,2229.55,2228.9,2229.55
509,06/04 11:42,2229.3,2229.75,2228.9,2228.9
510,06/04 11:41,2230.4,2230.4,2229.2,2229.3
511,06/04 11:40,2230.5,2230.5,2229.7,2230.4
512,06/04 11:39,2227.65,2230.5,2227.65,2230.5
513,06/04 11:38,2226.9,2227.65,2225.8,2227.65
514,06/04 11:37,2226.25,2226.9,2224.75,2226.9
515,06/04 11:36,2228.35,2228.35,2226.25,2226.25
516,06/04 11:35,2230.5,2230.5,2226.35,2228.35
517,06/04 11:34,2230.4,2230.95,2230.4,2230.5
518,06/04 11:33,2231.35,2231.4,2230.4,2230.4
519,06/04 11:32,2230.9,2232.7,2230.9,2231.35
520,06/04 11:31,2231.15,2232.4,2230.9,2230.9
521,06/04 11:30,2229.7,2231.35,2228.85,2231.15
522,06/04 11:29,2230.45,2230.45,2228.7,2229.7
523,06/04 11:28,2224.0,2230.45,2224.0,2230.45
524,06/04 11:27,2226.65,2226.65,2224.0,2224.0
525,06/04 11:26,2228.85,2228.85,2224.9,2226.65
526,06/04 11:25,2231.85,2232.2,2227.2,2228.85
527,06/04 11:24,2232.4,2232.75,2230.85,2231.85
528,06/04 11:23,2229.4,2232.4,2229.3,2232.4
529,06/04 11:22,2228.6,2230.05,2228.1,2229.4
530,06/04 11:21,2225.65,2228.6,2225.65,2228.6
531,06/04 11:20,2223.05,2225.75,2223.05,2225.65
532,06/04 11:19,2226.8,2226.8,2223.05,2223.05
533,06/04 11:18,2227.05,2227.05,2225.25,2226.8
534,06/04 11:17,2230.0,2231.35,2226.7,2227.05
535,06/04 11:16,2230.0,2230.25,2229.1,2230.0
536,06/04 11:15,2229.6,2230.25,2229.0,2230.0
537,06/04 11:14,2229.45,2229.6,2228.4,2229.6
538,06/04 11:13,2229.3,2229.55,2228.35,2229.45
539,06/04 11:12,2228.6,2229.3,2228.15,2229.3
540,06/04 11:11,2229.6,2229.6,2229.6,2229.6
541,06/04 11:10,2230.0,2230.0,2229.6,2229.6
542,06/04 11:09,2230.0,2230.0,2229.75,2230.0
543,06/04 11:08,2229.6,2230.0,2229.05,2230.0
544,06/04 11:07,2228.65,2229.85,2228.65,2229.6
545,06/04 11:06,2229.6,2229.85,2228.65,2228.65
546,06/04 11:05,2228.0,2229.6,2228.0,2229.6
547,06/04 11:04,2228.05,2229.15,2228.0,2228.0
548,06/04 11:03,2230.0,2230.0,2228.05,2228.05
549,06/04 11:02,2230.0,2230.0,2228.75,2230.0
550,06/04 11:01,2229.55,2230.3,2228.85,2230.0
551,06/04 11:00,2230.5,2230.9,2229.55,2229.55
552,06/04 10:59,2229.85,2230.5,2229.85,2230.5
553,06/04 10:58,2229.9,2230.0,2228.85,2229.85
554,06/04 10:57,2228.4,2229.9,2228.4,2229.9
555,06/04 10:56,2227.15,2228.6,2226.75,2228.4
556,06/04 10:55,2228.6,2228.6,2227.15,2227.15
557,06/04 10:54,2227.65,2228.6,2227.1,2228.6
558,06/04 10:53,2229.3,2229.55,2227.65,2227.65
559,06/04 10:52,2228.15,2229.3,2228.15,2229.3
560,06/04 10:51,2229.9,2229.9,2228.15,2228.15
561,06/04 10:50,2229.95,2230.05,2229.9,2229.9
562,06/04 10:49,2228.7,2229.95,2227.7,2229.95
563,06/04 10:48,2229.55,2229.55,2228.0,2228.7
564,06/04 10:47,2229.55,2229.9,2228.75,2229.55
565,06/04 10:46,2230.4,2230.4,2228.6,2229.55
566,06/04 10:45,2228.9,2230.4,2228.9,2230.4
567,06/04 10:44,2229.65,2230.0,2228.9,2228.9
568,06/04 10:43,2229.65,2231.4,2229.65,2229.65
569,06/04 10:42,2229.45,2230.85,2229.45,2229.65
570,06/04 10:41,2229.9,2230.8,2229.45,2229.45
571,06/04 10:40,2229.9,2229.9,2229.9,2229.9
572,06/04 10:39,2230.3,2230.3,2229.55,2229.9
573,06/04 10:38,2229.85,2230.3,2229.5,2230.3
574,06/04 10:37,2229.05,2229.85,2228.8,2229.85
575,06/04 10:36,2228.8,2230.2,2228.6,2229.05
576,06/04 10:35,2229.5,2229.95,2228.15,2228.8
577,06/04 10:34,2227.75,2229.5,2227.75,2229.5
578,06/04 10:33,2229.95,2230.0,2227.45,2227.75
579,06/04 10:32,2228.75,2229.95,2228.75,2229.95
580,06/04 10:31,2230.05,2230.05,2228.4,2228.4
581,06/04 10:30,2228.0,2230.05,2228.0,2230.05
582,06/04 10:29,2229.0,2229.0,2228.0,2228.0
583,06/04 10:28,2227.85,2229.75,2227.6,2229.0
584,06/04 10:27,2229.55,2230.3,2229.15,2229.75
585,06/04 10:26,2227.95,2229.7,2227.95,2229.55
586,06/04 10:25,2227.65,2227.95,2226.45,2227.95
587,06/04 10:24,2228.0,2228.0,2226.4,2227.65
588,06/04 10:23,2229.4,2229.4,2227.5,2228.0
589,06/04 10:22,2228.05,2229.55,2228.05,2229.4
590,06/04 10:21,2230.45,2230.5,2228.05,2228.05
591,06/04 10:20,2230.15,2231.2,2229.55,2230.45
592,06/04 10:19,2230.05,2232.2,2230.05,2230.15
593,06/04 10:18,2231.35,2231.75,2230.0,2230.05
594,06/04 10:17,2231.35,2232.4,2231.35,2231.35
595,06/04 10:16,2232.1,2232.8,2231.35,2231.35
596,06/04 10:15,2231.15,2232.8,2231.15,2232.1
597,06/04 10:14,2230.7,2232.85,2229.55,2231.15
598,06/04 10:13,2230.25,2230.7,2229.4,2230.7
599,06/04 10:12,2230.5,2230.5,2229.55,2230.25
